zone,grouping,group,model,n,mae,rmse,bias
DE,hour,6,residual,365,8.752639840399755,12.350189657929635,-0.18851831493753515
DE,hour,7,nyx,365,11.162617396990598,17.334703202634312,0.2272496129173007
DE,hour,7,storm,365,11.532353608219179,18.016476140553834,-2.688878386301369
DE,hour,7,chronos,365,11.955553068814213,18.972657307527374,-1.8302696039905286
DE,hour,7,residual,365,11.118056167818946,17.363011368743226,-0.4091705869698787
DE,hour,8,nyx,365,11.805315216824834,17.76444180467577,-0.8194087025984081
DE,hour,8,storm,365,11.646695479452054,16.023328401640487,-4.052368663013698
DE,hour,8,chronos,365,13.031079160507412,20.17262890193316,-2.22878983965312
DE,hour,8,residual,365,11.943285244497837,17.951353978471968,-1.1384413354989626
DE,hour,9,nyx,365,10.57513746635208,15.482124189132485,-0.6425021013125641
DE,hour,9,storm,365,10.81965927671233,15.011266952873957,-4.128656098630137
DE,hour,9,chronos,365,12.402835193372752,17.940320595174985,-0.3840621454944354
DE,hour,9,residual,365,10.72798944286294,15.615954656546634,-0.6169020906660784
DE,hour,10,nyx,365,10.714046892402486,15.374242502609482,-0.11219561119390467
DE,hour,10,storm,365,10.578654610958903,14.87228788722158,-3.9778190876712323
DE,hour,10,chronos,365,13.072941639103304,18.12316001915261,0.9724731909346906
DE,hour,10,residual,365,10.666595081853558,15.457357428048022,0.16087883964063354
DE,hour,11,nyx,365,11.684359142107082,18.224522136130535,-0.4368735892354631
DE,hour,11,storm,365,10.838156369863015,16.292649401134774,-3.3874564630136987
DE,hour,11,chronos,365,14.0486707270374,20.886269679939808,0.9700802085562931
DE,hour,11,residual,365,11.756775844009272,18.563301087900612,-0.49118733938292886
DE,hour,12,nyx,365,12.646254114171855,23.849136911059286,-0.20157152059267328
DE,hour,12,storm,365,11.91642351780822,21.18974151283097,-2.675114816438356
DE,hour,12,chronos,365,14.880074155206549,26.543795107580355,1.471794302326359
DE,hour,12,residual,365,12.71478276615027,24.097749929157814,-0.6307806927015573
DE,hour,13,nyx,365,13.668487456959262,32.614060215429454,1.781168623898118
DE,hour,13,storm,365,13.686986378082192,30.80269131835158,-0.9863931068493149
DE,hour,13,chronos,365,16.453512175677574,35.26788063509389,3.192617220525873
DE,hour,13,residual,365,13.877414943754777,32.78202640732075,1.0761916942989074
DE,hour,14,nyx,365,13.762472703383343,32.18603269982342,1.684521742176765
DE,hour,14,storm,365,14.161375498630138,29.701572373628462,-1.2212687643835614
DE,hour,14,chronos,365,16.668170935225813,34.83437956771873,3.1311420722856913
DE,hour,14,residual,365,13.965491325242658,32.409369450906155,1.0937014436928048
DE,hour,15,nyx,365,12.567303634167944,21.330346197456958,0.5067140977683803
DE,hour,15,storm,365,12.117531339726028,18.574980029764962,-1.7828042767123284
DE,hour,15,chronos,365,15.009906296403443,24.127131616590706,1.9520060378819302
DE,hour,15,residual,365,12.678389498982787,21.801692661134258,0.1408830171820404
DE,hour,16,nyx,365,12.984074787434931,18.779585483222533,-1.237413076929734
DE,hour,16,storm,365,11.81986786849315,16.66135659160428,-0.33034049315068503
DE,hour,16,chronos,365,15.41435912876913,21.63021477648689,-0.7153828196068339
DE,hour,16,residual,365,13.192255054320437,19.155745675117963,-1.6312399747049187
DE,hour,17,nyx,365,12.739025539683034,19.1066128115316,-1.8891625931740315
DE,hour,17,storm,365,13.706027334246576,23.74266633463064,2.5061992520547944
DE,hour,17,chronos,365,14.623079278815283,22.371969312051277,-2.2971204257076727
DE,hour,17,residual,365,13.101565385106877,19.48477285060668,-1.9960748819965872
DE,hour,18,nyx,365,13.783657389060602,23.21545371019849,-2.5359453153387705
DE,hour,18,storm,365,14.991516312328768,23.532259800102985,1.099246208219178
DE,hour,18,chronos,365,15.236199977090914,26.1579058156574,-4.436158493251017
DE,hour,18,residual,365,14.046322344093946,23.652611464964025,-2.922121694045284
DE,hour,19,nyx,365,18.38279614587725,39.67499668714059,-4.663503736543188
DE,hour,19,storm,365,17.459233183561647,30.622476745759318,0.8571558465753428
DE,hour,19,chronos,365,19.74630561389662,42.35343604681899,-6.6012042604211265
DE,hour,19,residual,365,18.86474263092835,40.214696716918056,-4.957607305420307
DE,hour,20,nyx,365,18.244308835128297,41.80552735223616,-4.048267191792935
DE,hour,20,storm,365,16.476462367123286,33.518214021644056,1.3990333150684924
DE,hour,20,chronos,365,19.164020593512546,44.98338332019992,-6.238716522216797
DE,hour,20,residual,365,18.491964453710356,42.2289988314553,-4.270135247783487
DE,hour,21,nyx,365,13.819667481269983,35.6121242719074,-2.6559002854070606
DE,hour,21,storm,365,13.264908446575342,30.332035710889265,0.7613783808219174
DE,hour,21,chronos,365,14.41241920366679,37.85097669530651,-4.173732249638806
DE,hour,21,residual,365,14.193718404427322,35.88978045711762,-3.163293408647804
DE,hour,22,nyx,365,10.29945903241528,20.721685875649676,-1.7121772693881507
DE,hour,22,storm,365,11.09148985479452,20.403034057169645,-0.8842824739726036
DE,hour,22,chronos,365,10.742279846191407,21.914359136890333,-3.0011077939386244
DE,hour,22,residual,365,10.438947695512951,20.94486056424473,-2.596086361793243
DE,hour,23,nyx,365,8.746475311226964,13.009976842647234,1.425312627820266
DE,hour,23,storm,365,8.901898520547945,12.08019403563731,0.9924300438356156
DE,hour,23,chronos,365,9.234357874204033,13.759247284661175,0.5227557607154318
DE,hour,23,residual,365,8.745272742071261,13.192657352522039,0.44735449237927877
DE,season,DJF,nyx,2160,8.47971525595005,13.604620873002839,0.9405050042066534
DE,season,DJF,storm,2160,9.653010505092594,14.468856577953195,1.4889596921296293
DE,season,DJF,chronos,2160,8.594095421543827,13.774411769761839,-0.41490997328581636
DE,season,DJF,residual,2160,8.427815149929481,13.501780283911424,1.0397928170170654
DE,season,JJA,nyx,2208,12.150261879549781,26.19441025875969,-1.8982062077895947
DE,season,JJA,storm,2208,11.847773626358697,22.768594076726515,-4.4391281870471015
DE,season,JJA,chronos,2208,13.885764777003857,28.512558656919392,-0.6170625272004499
DE,season,JJA,residual,2208,12.296418827268619,26.434948687978256,-2.1897351831498377
DE,season,MAM,nyx,2207,11.710894949567482,23.67126239686983,-0.9593347495652563
DE,season,MAM,storm,2207,12.424796435885819,22.179650277554178,-2.2319650457634794
DE,season,MAM,chronos,2207,13.233986937881976,25.990714269811818,-0.09024168850233734
DE,season,MAM,residual,2207,11.822864231316801,23.926079327903373,-1.2884131804367345
DE,season,SON,nyx,2184,12.092828568920133,22.598927565279666,-0.8988731477200574
DE,season,SON,storm,2184,11.817865815934066,20.09891468098703,-1.9413373031135532
DE,season,SON,chronos,2185,13.772722589837606,25.34606710693821,-2.082912857649255
DE,season,SON,residual,2185,12.23733187993922,23.00116506552233,-1.5448633224898591
