zone,grouping,group,n,coverage80,below_p10,above_p90,width80,interval_score80,wis80_single_interval
DE,hour,18,365,0.7890410958904109,0.10136986301369863,0.1095890410958904,41.406213577479534,67.43041124089714,9.089913212413343
DE,hour,19,365,0.7890410958904109,0.10410958904109589,0.10684931506849316,48.53754040443734,102.84706005412957,12.984069385567722
DE,hour,20,365,0.7698630136986301,0.1095890410958904,0.12054794520547946,45.62376672405086,106.29389443163296,13.167695907151629
DE,hour,21,365,0.7534246575342466,0.13150684931506848,0.11506849315068493,37.15114368804514,79.30034538981627,9.893245519744411
DE,hour,22,365,0.736986301369863,0.12876712328767123,0.13424657534246576,27.9450365353937,55.91084144024803,7.160542440154963
DE,hour,23,365,0.7561643835616438,0.1643835616438356,0.07945205479452055,24.780070547861595,45.14402264760674,5.925093280249437
DE,season,DJF,2160,0.7212962962962963,0.16527777777777777,0.11342592592592593,23.100321185147322,43.49028588299039,5.7259241441827085
DE,season,JJA,2208,0.7558876811594203,0.09782608695652174,0.14628623188405798,33.226675705633305,65.26069849022043,8.400800525864623
DE,season,MAM,2207,0.7684639782510195,0.09922972360670594,0.13230629814227457,34.06362385613701,64.09855769041489,8.17686882921682
DE,season,SON,2185,0.7272311212814645,0.1414187643020595,0.13135011441647598,33.388254018124506,61.998369330020935,8.162522872136158
DE,regime,negative,527,0.889943074003795,0.058823529411764705,0.051233396584440226,46.19279925149125,93.33887175510229,10.825233959443887
DE,regime,upper95_train,900,0.6888888888888889,0.06333333333333334,0.2477777777777778,55.12413003709581,149.3998382856945,18.663763820058424
DE,regime,upper99_train,104,0.33653846153846156,0.028846153846153848,0.6346153846153846,107.73745888930101,663.0151352079254,78.28899418193564
FR,all,all,8760,0.7299086757990868,0.13150684931506848,0.13858447488584474,33.27664865990208,60.17251830093224,8.040310527199807
FR,split,test,2160,0.7277777777777777,0.1300925925925926,0.14212962962962963,37.9231926979842,65.98549154205901,8.950261681459482
FR,split,train,4321,0.7188150890997455,0.14302244850728998,0.1381624623929646,27.25783855444412,48.235312148851754,6.536705217913073
FR,split,validation,2279,0.7529618253620008,0.11101360245721807,0.13602457218078104,40.284434242800906,77.2961012681573,10.028719499655738
FR,hour,0,365,0.5643835616438356,0.23835616438356164,0.19726027397260273,18.848448933640572,55.382365031871636,6.976561351653444
FR,hour,1,365,0.6356164383561644,0.16986301369863013,0.19452054794520549,21.883171457787082,50.20935220370566,6.539067329489119
FR,hour,2,365,0.663013698630137,0.12602739726027398,0.21095890410958903,23.68381559293564,52.34213999336607,6.859005256626965
FR,hour,3,365,0.6547945205479452,0.14794520547945206,0.19726027397260273,24.910357394283764,57.05275806039871,7.435605937883314
FR,hour,4,365,0.7041095890410959,0.13424657534246576,0.16164383561643836,26.837766777979184,55.26909393540993,7.2966181698162185
FR,hour,5,365,0.6958904109589041,0.1589041095890411,0.14520547945205478,28.002791051995263,54.23198007743411,7.288788766663874
FR,hour,6,365,0.7178082191780822,0.1589041095890411,0.1232876712328767,30.551618790299926,57.52740885027666,7.816310398477154
FR,hour,7,365,0.726027397260274,0.13972602739726028,0.13424657534246576,34.35196380615234,60.01578698607527,8.15209032270194
FR,hour,8,365,0.7671232876712328,0.09863013698630137,0.13424657534246576,37.25795954874117,63.61788380413401,8.682626126277084
FR,hour,9,365,0.7753424657534247,0.10684931506849316,0.1178082191780822,36.46842986851522,56.280431722726696,7.718402096339467
FR,hour,10,365,0.7397260273972602,0.14246575342465753,0.1178082191780822,33.89244203959426,54.678585530966195,7.595095363071152
FR,hour,11,365,0.7397260273972602,0.12054794520547946,0.13972602739726028,33.10867025296982,57.345675570303804,7.718758363609706
