support,zone,label,model,days,first,last,n,mae,rmse,bias
nyx_naive_common,FR,observed,chronos,343,2025-09-23,2026-08-31,8231,12.866087538612076,20.25544177897164,0.21059918375142728
nyx_naive_common,FR,observed,residual,343,2025-09-23,2026-08-31,8231,12.172447263003374,19.339162363909185,-0.46135981228717143
nyx_naive_common,FR,frozen_actual,weekly_naive,343,2025-09-23,2026-08-31,8231,35.16714782529461,48.77745891997241,-1.7040188008747414
nyx_naive_common,FR,frozen_actual,nyx,343,2025-09-23,2026-08-31,8231,12.026405278417151,19.091968421334137,-0.32363684631052897
nyx_naive_common,FR,frozen_actual,chronos,343,2025-09-23,2026-08-31,8231,12.866847849631394,20.255572310464327,0.2097542074423521
nyx_naive_common,FR,frozen_actual,residual,343,2025-09-23,2026-08-31,8231,12.172565427728879,19.339183611861884,-0.4622047885962467
nyx_naive_common,NL,observed,weekly_naive,343,2025-09-23,2026-08-31,8231,32.20664849350018,51.296307386844845,-1.0632874195116029
nyx_naive_common,NL,observed,nyx,343,2025-09-23,2026-08-31,8231,10.926580822728994,22.366943930743982,-0.8149410350638071
nyx_naive_common,NL,observed,chronos,343,2025-09-23,2026-08-31,8231,11.987613397844733,24.023127477579337,-0.6953300987141294
nyx_naive_common,NL,observed,residual,343,2025-09-23,2026-08-31,8231,10.973759335795393,22.455017830316066,-1.0240268844431308
nyx_naive_common,NL,frozen_actual,weekly_naive,343,2025-09-23,2026-08-31,8231,32.2077771534443,51.296740069143524,-1.064416079455716
nyx_naive_common,NL,frozen_actual,nyx,343,2025-09-23,2026-08-31,8231,10.926891364650723,22.367008421679863,-0.8160696950079208
nyx_naive_common,NL,frozen_actual,chronos,343,2025-09-23,2026-08-31,8231,11.987509186934759,24.023107327834868,-0.6964587586582431
nyx_naive_common,NL,frozen_actual,residual,343,2025-09-23,2026-08-31,8231,10.973480014915877,22.454960050484207,-1.0251555443872442
all_models_common,pooled,observed,weekly_naive,343,2025-09-23,2026-08-31,32920,33.6452292299514,51.3547274092964,-1.355177893377886
all_models_common,pooled,observed,nyx,343,2025-09-23,2026-08-31,32920,11.18397425036409,21.749833052496342,-0.721430908560615
all_models_common,pooled,observed,chronos,343,2025-09-23,2026-08-31,32920,12.145080444811574,23.20362949577422,-0.5489972648951095
all_models_common,pooled,observed,residual,343,2025-09-23,2026-08-31,32920,11.277865956829741,21.91563076339477,-0.9644211815604864
all_models_common,pooled,observed,storm,343,2025-09-23,2026-08-31,32920,11.166542554313486,20.7866360942757,-1.8660214660388823
all_models_common,pooled,frozen_actual,weekly_naive,343,2025-09-23,2026-08-31,32920,33.64628049058323,51.35522269303651,-1.3562291540097207
all_models_common,pooled,frozen_actual,nyx,343,2025-09-23,2026-08-31,32920,11.183665281751741,21.7497190773378,-0.7224821691924497
all_models_common,pooled,frozen_actual,chronos,343,2025-09-23,2026-08-31,32920,12.144736055990188,23.203536640649848,-0.550048525526944
all_models_common,pooled,frozen_actual,residual,343,2025-09-23,2026-08-31,32920,11.27728194546915,21.91549462678861,-0.9654724421923209
all_models_common,pooled,frozen_actual,storm,343,2025-09-23,2026-08-31,32920,11.167182441008505,20.786934562637178,-1.867072726670717
all_models_common,BE,observed,weekly_naive,343,2025-09-23,2026-08-31,8230,31.902241038882135,50.720754245495634,-1.4849232989064396
all_models_common,BE,observed,nyx,343,2025-09-23,2026-08-31,8230,10.902750617970806,23.73813454385032,-0.9867333001431755
all_models_common,BE,observed,chronos,343,2025-09-23,2026-08-31,8230,11.701539597110694,24.85434296437129,-0.7377819798808022
all_models_common,BE,observed,residual,343,2025-09-23,2026-08-31,8230,11.005409242144118,23.886163492705943,-1.3275244597231242
all_models_common,BE,observed,storm,343,2025-09-23,2026-08-31,8230,10.68900612782503,23.597447303300985,-2.4924217630619685
all_models_common,BE,frozen_actual,weekly_naive,343,2025-09-23,2026-08-31,8230,31.90337165856622,50.7212143867398,-1.4860539185905222
all_models_common,BE,frozen_actual,nyx,343,2025-09-23,2026-08-31,8230,10.901619998286723,23.737843853228743,-0.9878639198272579
all_models_common,BE,frozen_actual,chronos,343,2025-09-23,2026-08-31,8230,11.700606408775334,24.854168279649436,-0.7389125995648844
