period,zone,comparison,n,days,block_days,reps,seed,mae_delta,mae_delta_ci_low,mae_delta_ci_high,rmse_delta,rmse_delta_ci_low,rmse_delta_ci_high
full350,FR,nyx minus residual,8399,350,7,2000,20260915,-0.1482782668294625,-0.2667334654687366,-0.025532748084610587,-0.2491161013154617,-0.44267842356793324,-0.06914807666245411
full350,FR,nyx minus storm,8399,350,7,2000,20260915,0.12453767592226549,-0.47600097659805324,0.7482624150166275,0.4334219233906609,-0.7647189267013982,1.4098198501978267
full350,NL,nyx minus chronos,8399,350,7,2000,20260915,-1.1148736346062442,-1.3486035401823735,-0.8075865255237243,-1.6847651166046766,-2.236446677543636,-1.0516682556872452
full350,NL,residual minus chronos,8399,350,7,2000,20260915,-1.066433452956572,-1.2910294350024667,-0.7687600399861857,-1.5965079412956449,-2.1312078049038674,-0.9971770282726597
full350,NL,nyx minus residual,8399,350,7,2000,20260915,-0.04844018164967212,-0.14755217391217562,0.04653047689840136,-0.08825717530903177,-0.22245661034414238,0.045333534538832966
full350,NL,nyx minus storm,8399,350,7,2000,20260915,0.1581674905229381,-0.5760130689575096,1.04568298625507,1.859507638186745,-2.4233725403570126,6.3855373916002565
test75,pooled,nyx minus chronos,7200,75,7,2000,20260915,-1.2132491573348672,-1.729233177499005,-0.5568339723479356,-1.4397294227541444,-2.3569296138789673,-0.1311372163490449
test75,pooled,residual minus chronos,7200,75,7,2000,20260915,-1.155081568879549,-1.654526290396388,-0.5547214134724859,-1.2554064682810733,-2.0164968082376498,-0.1503009664661917
test75,pooled,nyx minus residual,7200,75,7,2000,20260915,-0.058167588455317956,-0.23005372003365862,0.14118874816747254,-0.18432295447307112,-0.42282760032463446,0.06053121720330927
test75,pooled,nyx minus storm,7200,75,7,2000,20260915,1.4723422304391593,-0.26390739030542104,4.154566471835649,2.4108247493791666,-11.488811216403256,15.324897676254901
test75,BE,nyx minus chronos,1800,75,7,2000,20260915,-0.8210871515924393,-1.0981581501438606,-0.1537755480582411,-0.7523411887694991,-1.708692481031664,0.8765838004705976
test75,BE,residual minus chronos,1800,75,7,2000,20260915,-0.8333507272164772,-1.1361772049298946,-0.2225010625648263,-0.5533080206069485,-1.313323557456823,0.6932680426650891
test75,BE,nyx minus residual,1800,75,7,2000,20260915,0.012263575624037912,-0.1626664204000003,0.24977107928542203,-0.19903316816255057,-0.4768817435185964,0.19607933256927595
test75,BE,nyx minus storm,1800,75,7,2000,20260915,2.3059462356275637,-0.4908858825429085,6.921744456187122,0.3732991368154899,-23.47938294427193,25.108225468580414
test75,DE,nyx minus chronos,1800,75,7,2000,20260915,-1.7249893905528855,-2.409956457335925,-0.9536384487982698,-2.287908756252971,-3.431793604887113,-0.8569536871698101
test75,DE,residual minus chronos,1800,75,7,2000,20260915,-1.5285516093673748,-2.094388316961296,-0.8851732168662411,-2.0208016374087414,-3.029887141729242,-0.6879638262704928
test75,DE,nyx minus residual,1800,75,7,2000,20260915,-0.19643778118551078,-0.5305211235807615,0.17075131267846372,-0.2671071188442298,-0.6685718891488915,-0.038928386788591555
test75,DE,nyx minus storm,1800,75,7,2000,20260915,1.0505207854176701,-0.7481029511188516,3.667409704847958,4.564755135548047,-3.7546980215292853,12.129301848636008
test75,FR,nyx minus chronos,1800,75,7,2000,20260915,-0.8394608726374463,-1.6643382537788844,0.08619126277784293,-0.8432647928799852,-1.8021491142793258,0.2046592052777732
test75,FR,residual minus chronos,1800,75,7,2000,20260915,-0.8310757592079466,-1.6401370135833335,0.051487275162218585,-0.8000308797350506,-1.6585834493190337,0.15670208445795314
test75,FR,nyx minus residual,1800,75,7,2000,20260915,-0.008385113429499647,-0.14711052738635524,0.20455295612111637,-0.04323391314493463,-0.25038964210661774,0.26575689107772443
test75,FR,nyx minus storm,1800,75,7,2000,20260915,1.0803299461125546,-0.32302378966351086,2.530403273508713,0.9515871118247787,-1.5545359645575787,3.1273486972786113
test75,NL,nyx minus chronos,1800,75,7,2000,20260915,-1.4674592145566951,-1.9937447402914603,-0.7979596059267353,-2.0109074643626954,-3.3766523769856347,-0.1296580151357738
test75,NL,residual minus chronos,1800,75,7,2000,20260915,-1.4273481797264098,-1.9445376186150933,-0.7683414035310908,-1.8124946272095883,-3.033206219814987,-0.17159613048748978
test75,NL,nyx minus residual,1800,75,7,2000,20260915,-0.04011103483028516,-0.2652577989536686,0.18962722833088616,-0.1984128371531071,-0.48965299153344377,0.07733795608987071
test75,NL,nyx minus storm,1800,75,7,2000,20260915,1.4525719545988593,-0.6514340849363062,4.77377567846511,4.399311366695638,-10.224464401712899,17.57372035990748
