stage,family,group,value,n,mae,rmse,bias
test,nyx,country_hour,NL:14,90,11.73283187119039,17.2755936483612,0.4895227337724492
test,nyx,country_hour,NL:15,90,11.91290974812183,16.454158565168655,1.1006982489446826
test,nyx,country_hour,NL:16,90,13.809779089665994,18.26737322782791,-1.085304219269719
test,nyx,country_hour,NL:17,90,14.1283502667033,19.207257703005528,-0.11594817868432743
test,nyx,country_hour,NL:18,90,14.588079625665756,21.433736573845735,-2.936900293405606
test,nyx,country_hour,NL:19,90,28.70182598192391,58.795491768377154,-11.229807510944632
test,nyx,country_hour,NL:20,90,37.775981378520285,85.13796484861312,-12.274848205196662
test,nyx,country_hour,NL:21,90,31.464691396397086,80.51930282141626,-8.732680099092285
test,nyx,country_hour,NL:22,90,18.807371004761396,46.10979232691048,-6.119288637827001
test,nyx,country_hour,NL:23,90,10.343289059058403,17.28214060463334,-1.9436852703015703
test,nyx,country_negative,NL,137,6.542648382159295,11.900084302681933,1.3153016319374229
test,nyx,country_train_q95,NL,744,19.269179176038957,49.641470996270456,-8.20139457060203
test,nyx,hour,00,360,8.81432821540193,14.300581270086207,-0.06904519066703116
test,nyx,hour,01,360,8.141512750277709,12.236626377879299,-0.896548334667254
test,nyx,hour,02,360,8.861428892889407,13.097323891178844,-1.2174194581810007
test,nyx,hour,03,360,9.296789665899139,14.212678723853752,-1.1433399119278393
test,nyx,hour,04,360,9.291117939978866,13.993260660864077,-0.018141200575570653
test,nyx,hour,05,360,9.480832845511143,14.244632381034304,0.3301233993662172
test,nyx,hour,06,360,10.355004121335716,14.361779704103908,-2.102054525801582
test,nyx,hour,07,360,10.728476747042029,14.800733873495707,-1.439125689257873
test,nyx,hour,08,360,11.688534576319812,15.627171252798282,-1.0322570829365638
test,nyx,hour,09,360,12.633487749564182,17.22108184857888,0.6685825321280524
test,nyx,hour,10,360,13.660851781626464,18.65820942120246,1.5940155657663606
test,nyx,hour,11,360,14.299912130856693,19.872439820081624,-0.0757649683690462
test,nyx,hour,12,360,13.262250762618972,18.777468690269707,-1.3664022935018196
test,nyx,hour,13,360,12.429601095158185,18.14276293102655,0.029592130017641
test,nyx,hour,14,360,13.174556438060876,18.905187408208068,-0.08252444903635245
test,nyx,hour,15,360,13.388861020688756,18.65710694170897,0.7423905177582372
test,nyx,hour,16,360,15.332411179981383,20.73585510303839,-0.239945298412973
test,nyx,hour,17,360,14.83244978299335,19.9634007824436,-0.13519492037322986
test,nyx,hour,18,360,14.894210917784761,21.959868964474136,-2.959508724506241
test,nyx,hour,19,360,26.551848790088318,56.01901661278014,-10.34349438770067
test,nyx,hour,20,360,33.83526031275522,76.85211827588792,-10.543569974522352
test,nyx,hour,21,360,27.54085041610373,71.63649897726833,-7.460066840452255
test,nyx,hour,22,360,17.303410765541486,43.037108912476505,-5.04921209564897
test,nyx,hour,23,360,10.795494437718261,17.921621826694913,-1.6490872959009328
test,nyx,negative,actual_lt_zero,522,6.390085299068322,10.279983266824987,1.4211584627074292
test,nyx,train_q95,actual_gt_train_q95,3403,17.46296402766121,43.12125126684212,-6.969285760979077
test,raw_hourly,overall,all,8640,15.499604577673805,31.859519769155504,-0.8644307838987423
test,raw_hourly,country,BE,2160,16.969992880715267,38.74087706381428,-1.8986513267093237
test,raw_hourly,country_hour,BE:00,90,9.015892008463544,14.674060257725026,-0.023744784884981603
test,raw_hourly,country_hour,BE:01,90,7.787320532904731,11.83530816408259,-0.25103526814778643
test,raw_hourly,country_hour,BE:02,90,8.120440524631077,12.787689482699424,-0.14739316134982658
test,raw_hourly,country_hour,BE:03,90,7.9942661777072495,13.359352209716786,0.28938046942816953
test,raw_hourly,country_hour,BE:04,90,8.057682139078777,13.197566723426776,1.2731302117241745
test,raw_hourly,country_hour,BE:05,90,8.431526207817926,13.546772485782297,0.5317944369845915
test,raw_hourly,country_hour,BE:06,90,9.95629508463542,14.911298546026922,-3.5510348442925364
test,raw_hourly,country_hour,BE:07,90,10.951491029527451,15.575911492379143,-2.7512299753824863
test,raw_hourly,country_hour,BE:08,90,13.236309816148546,17.837333475293867,-0.8118762529161251
test,raw_hourly,country_hour,BE:09,90,16.1716546359592,21.564107492747684,2.9746281568739166
test,raw_hourly,country_hour,BE:10,90,19.27661955939399,25.48996269867154,4.84659554884169
test,raw_hourly,country_hour,BE:11,90,19.597311370849614,26.008105474552078,3.5568551466200073
test,raw_hourly,country_hour,BE:12,90,18.151581732855906,24.565296238731822,1.6765779452853729
test,raw_hourly,country_hour,BE:13,90,17.888918970743813,23.86016692413443,3.21947454325358
test,raw_hourly,country_hour,BE:14,90,19.437798516167536,26.028601247742504,2.219148912217882
test,raw_hourly,country_hour,BE:15,90,19.722892959594727,25.479335966754597,4.101553231133355
test,raw_hourly,country_hour,BE:16,90,19.91697423977322,25.472661757664564,2.0349808926052515
test,raw_hourly,country_hour,BE:17,90,16.570075400458443,22.2873644098216,2.3909008229573576
test,raw_hourly,country_hour,BE:18,90,15.295064732869468,22.653380748093262,-2.3879648284912123
test,raw_hourly,country_hour,BE:19,90,30.633993530273436,65.11030356049731,-14.269931091308596
test,raw_hourly,country_hour,BE:20,90,42.03952045016819,100.55012839183209,-19.022207387288407
test,raw_hourly,country_hour,BE:21,90,35.73151903957791,97.77455681810423,-16.71446218193902
test,raw_hourly,country_hour,BE:22,90,21.056647196451827,61.40917385640664,-10.503706509060331
test,raw_hourly,country_hour,BE:23,90,12.238033281114367,23.501288797488066,-4.2480658738878025
test,raw_hourly,country_negative,BE,73,11.622036114000297,16.637231835287427,5.584063325646805
test,raw_hourly,country_train_q95,BE,992,18.83654067870109,52.418105546222776,-9.681960774083292
test,raw_hourly,country,DE,2160,15.028447581750378,31.453837828304582,-1.2674874668121336
test,raw_hourly,country_hour,DE:00,90,7.553996554904514,10.465710095648758,-0.3649407280815958
test,raw_hourly,country_hour,DE:01,90,6.883746229383681,10.065587413786464,-0.5698225775824638
test,raw_hourly,country_hour,DE:02,90,6.961349911159938,10.63998230911433,-0.8538154534233952
test,raw_hourly,country_hour,DE:03,90,7.147271650526262,10.953986828004975,-0.9922452494303399
test,raw_hourly,country_hour,DE:04,90,7.7500721537272135,11.390833967079,-0.07896224975586029
test,raw_hourly,country_hour,DE:05,90,8.041633171929256,11.18385930017173,-0.3659627685546863
test,raw_hourly,country_hour,DE:06,90,9.23098813035753,12.868051918762268,-4.309178553263346
test,raw_hourly,country_hour,DE:07,90,9.45639271036784,13.65563471141316,-3.825619035508896
test,raw_hourly,country_hour,DE:08,90,11.897885584513347,15.677763146829804,-1.423117321438261
test,raw_hourly,country_hour,DE:09,90,14.107126676771378,18.985847520256765,2.6999164411756715
