stage,family,baseline,zone,n,days,candidate_mae,baseline_mae,candidate_rmse,baseline_rmse,mae_delta,rmse_delta,bias_delta,mae_relative_improvement,mae_delta_ci_low,mae_delta_ci_high,rmse_delta_ci_low,rmse_delta_ci_high,bootstrap_block_days,bootstrap_repetitions
test,residual_quarterhour,nyx,all,8640,90,14.399117855166699,14.19139513900818,30.251214080648275,30.196013322074386,0.20772271615851956,0.055200758573889175,-0.01426713047242889,-0.014637230104850518,-0.4567671521092628,0.8803418300090534,-0.6099338544964997,1.3430225700717593,7,1000
test,residual_quarterhour,nyx,BE,2160,90,16.47982364980868,16.10764101560566,37.25034620217211,37.8635899802095,0.37218263420301767,-0.6132437780373863,-0.04304690217015983,-0.023105967772837355,-0.3810039524525099,1.221006117637739,-1.8933084630411232,1.9696173521373197,7,1000
test,residual_quarterhour,nyx,DE,2160,90,13.458627910362514,13.06864247181607,29.334406239137525,28.65213476067092,0.38998543854644474,0.6822714784666069,-0.5191598536294464,-0.0298413120863541,-0.5376751136843628,1.2187704854166392,-0.20684920230229875,1.7829420193520815,7,1000
test,residual_quarterhour,nyx,FR,2160,90,13.151559893302963,13.653686735966643,19.491401198811435,19.413891540142295,-0.5021268426636798,0.07750965866913972,0.7449905686208114,0.03677591645199929,-1.3216603329015466,0.36148363616482837,-0.8244668630598613,1.095650545928791,7,1000
test,residual_quarterhour,nyx,NL,2160,90,14.506459967192606,13.935610332644346,32.133057917593106,31.87007099022685,0.5708496345482601,0.2629869273662564,-0.23985233471092204,-0.04096337518931903,-0.35989051575812137,1.5831137420882193,-0.5254678055474205,1.8461037481653804,7,1000
test,full_quarterhour,nyx,all,8640,90,14.431152721824725,14.19139513900818,30.286386319904057,30.196013322074386,0.23975758281654613,0.09037299782967168,0.026257065183986406,-0.016894574526892026,-0.40219525075157636,0.899120401064991,-0.5574627135342448,1.3473823389635051,7,1000
test,full_quarterhour,nyx,BE,2160,90,16.47982364980868,16.10764101560566,37.25034620217211,37.8635899802095,0.37218263420301767,-0.6132437780373863,-0.04304690217015983,-0.023105967772837355,-0.3810039524525099,1.221006117637739,-1.8933084630411232,1.9696173521373197,7,1000
test,full_quarterhour,nyx,DE,2160,90,13.497085729420775,13.06864247181607,29.370008713627623,28.65213476067092,0.42844325760470525,0.7178739529567046,-0.48070203457118765,-0.032784067551674845,-0.4762233984847146,1.234841101171302,-0.1965499126168833,1.7829420193520815,7,1000
test,full_quarterhour,nyx,FR,2160,90,13.173828041854293,13.653686735966643,19.518169641289568,19.413891540142295,-0.47985869411234994,0.10427810114727265,0.7494419934616992,0.03514499075537614,-1.2900285462353587,0.37245417022435184,-0.8228916925512855,1.1263229208564483,7,1000
test,full_quarterhour,nyx,NL,2160,90,14.573873466215137,13.935610332644346,32.2167058388577,31.87007099022685,0.6382631335707902,0.34663484863084904,-0.12066479598440738,-0.04580087404393418,-0.3001201719112038,1.625900741756546,-0.3710869016921302,1.8683931279576902,7,1000
