zone,grouping,group,n,coverage80,below_p10,above_p90,width80,interval_score80,wis80_single_interval
FR,hour,8,350,0.7685714285714286,0.09714285714285714,0.13428571428571429,37.39827606201172,63.0429375551209,8.615502066886124
FR,hour,9,350,0.7742857142857142,0.10571428571428572,0.12,36.44274107796805,55.74275174116501,7.667076751564798
FR,hour,10,350,0.7457142857142857,0.13428571428571429,0.12,33.62922218322754,53.99848178607533,7.461579479122977
FR,hour,11,350,0.7428571428571429,0.11428571428571428,0.14285714285714285,32.534534138270786,56.256209607590684,7.568305541121652
FR,hour,12,350,0.7542857142857143,0.08857142857142856,0.15714285714285714,33.26786710466657,64.7535894909895,8.432156035955213
FR,hour,13,350,0.7685714285714286,0.10857142857142857,0.12285714285714286,33.00196942465646,72.06047544859314,9.041195907494505
FR,hour,14,350,0.7428571428571429,0.11428571428571428,0.14285714285714285,32.87034685952323,74.08802754264644,9.373890100067351
FR,hour,15,350,0.7971428571428572,0.08285714285714285,0.12,33.75366655077253,60.482650592339546,7.920702984403755
FR,hour,16,350,0.76,0.12,0.12,33.3168461554391,55.80061057685544,7.5033250350556076
FR,hour,17,350,0.7657142857142857,0.12285714285714286,0.11142857142857143,36.11081296648298,58.40448469663987,7.8115030838870565
FR,hour,18,350,0.76,0.12,0.12,39.65607918330601,61.4826282260746,8.490688625684772
FR,hour,19,350,0.7228571428571429,0.13714285714285715,0.14,41.84898386819022,71.63223233104901,9.781597581371011
FR,hour,20,350,0.7571428571428571,0.13142857142857142,0.11142857142857143,42.02415851048061,69.04130657445808,9.363404757478545
FR,hour,21,350,0.7514285714285714,0.13428571428571429,0.11428571428571428,40.17523162841797,62.369481597484075,8.560918075813241
FR,hour,22,350,0.7742857142857142,0.10285714285714286,0.12285714285714286,38.42148118155343,58.41250146979335,8.009416118176746
FR,hour,23,350,0.7714285714285715,0.12571428571428572,0.10285714285714286,38.9652831867763,57.79134623930479,7.975406501225322
FR,season,DJF,2160,0.687962962962963,0.16805555555555557,0.1439814814814815,23.94528199036916,46.75502483271537,6.204279481846556
FR,season,JJA,2208,0.7350543478260869,0.12092391304347826,0.14402173913043478,36.97987159265988,63.90826464182136,8.69013276650586
FR,season,MAM,2207,0.7584956955142728,0.10149524241051201,0.1400090620752152,41.52507200617028,79.45577839557357,10.320680188142203
FR,season,SON,1825,0.7495890410958904,0.12438356164383561,0.12602739726027398,28.86423950822386,45.13119016082072,6.278957230606269
FR,regime,negative,566,0.8551236749116607,0.0636042402826855,0.0812720848056537,34.92164747959312,92.13461822611565,10.5811256431277
FR,regime,upper95_train,1247,0.7089013632718525,0.0673616680032077,0.22373696872493987,36.91799839573473,66.14971054440221,9.052934984114628
FR,regime,upper99_train,427,0.7072599531615925,0.0468384074941452,0.2459016393442623,40.241596856217754,84.68357508828862,11.075749231687457
NL,all,all,8400,0.7623809523809524,0.1155952380952381,0.12202380952380952,31.441842685881117,57.171180404530496,7.467779620242267
NL,split,test,1800,0.7672222222222222,0.0961111111111111,0.13666666666666666,38.05935733159383,74.777726904318,9.50026231645045
NL,split,train,4321,0.7526035639898172,0.134922471650081,0.11247396436010183,27.360987689091743,47.21746534749182,6.314882663827609
NL,split,validation,2279,0.7770952172005265,0.09433962264150944,0.12856516015796401,33.952526353649425,62.13748977787257,8.048384664337485
NL,hour,0,350,0.6714285714285714,0.14,0.18857142857142858,14.182837033952985,32.87292062120546,4.3430313690567095
NL,hour,1,350,0.7,0.11714285714285715,0.18285714285714286,15.632047075544085,31.34346467177785,4.164345976797666
NL,hour,2,350,0.72,0.11714285714285715,0.16285714285714287,16.676496200561523,32.507852724781934,4.315898389882227
NL,hour,3,350,0.7142857142857143,0.12,0.1657142857142857,17.55574278695243,33.07220532003775,4.441749587739772
NL,hour,4,350,0.7314285714285714,0.12285714285714286,0.1457142857142857,18.460602994646344,34.66817865443748,4.6056865788672345
NL,hour,5,350,0.7971428571428572,0.12,0.08285714285714285,20.33654793875558,36.102315071172825,4.768777512327896
NL,hour,6,350,0.7457142857142857,0.1457142857142857,0.10857142857142857,24.315401327950614,44.60338849432579,5.920151555631871
NL,hour,7,350,0.7885714285714286,0.12571428571428572,0.08571428571428572,33.6469380405971,53.29810363012349,7.074451247773959
NL,hour,8,350,0.8,0.10285714285714286,0.09714285714285714,37.195707484654015,55.09044225541319,7.385741396638337
NL,hour,9,350,0.7857142857142857,0.10571428571428572,0.10857142857142857,35.845254799979074,55.83344216625184,7.469357479794537
NL,hour,10,350,0.7771428571428571,0.10571428571428572,0.11714285714285715,34.16797520228795,54.47283638729376,7.262190817882946
NL,hour,11,350,0.7457142857142857,0.12,0.13428571428571429,34.72778272356306,61.18242938963979,8.072153181069641
NL,hour,12,350,0.7685714285714286,0.10571428571428572,0.12571428571428572,36.24153988429478,65.99458927724096,8.671476971236194
NL,hour,13,350,0.7828571428571428,0.10571428571428572,0.11142857142857143,36.842092579432894,77.4749326244478,9.720076980572731
NL,hour,14,350,0.7914285714285715,0.10285714285714286,0.10571428571428572,36.98583386012486,78.74666702871248,9.796093402929168
NL,hour,15,350,0.82,0.07428571428571429,0.10571428571428572,38.44549096243722,61.89438863096448,8.061943115325944
NL,hour,16,350,0.7571428571428571,0.13142857142857142,0.11142857142857143,36.292975213187084,56.514039371594635,7.666791897270137
NL,hour,17,350,0.7742857142857142,0.10571428571428572,0.12,37.071302174159456,59.73947151291532,8.194890751013055
NL,hour,18,350,0.7771428571428571,0.11142857142857143,0.11142857142857143,40.66046700613839,68.37095167451533,9.072793764922197
NL,hour,19,350,0.8057142857142857,0.09142857142857143,0.10285714285714286,47.86013434273856,91.63039235090469,11.709610660724188
NL,hour,20,350,0.7885714285714286,0.1,0.11142857142857143,46.90294725690569,98.15957890453082,12.26290095660781
NL,hour,21,350,0.7914285714285715,0.10857142857142857,0.1,39.37288901192802,84.40579709526,10.577176688560607
NL,hour,22,350,0.7257142857142858,0.12571428571428572,0.14857142857142858,29.490798110961915,58.16833241577833,7.5125308207576955
NL,hour,23,350,0.7371428571428571,0.16857142857142857,0.09428571428571429,25.694420449393135,45.96160943540579,6.156889782431868
NL,season,DJF,2160,0.7550925925925925,0.1476851851851852,0.09722222222222222,22.74150947994656,38.28783766966836,5.15737333773991
NL,season,JJA,2208,0.7590579710144928,0.10552536231884058,0.13541666666666666,36.047198128009185,71.34311853873419,9.102821939286226
NL,season,MAM,2207,0.7734481196193929,0.08744902582691437,0.13910285455369278,35.91355481512902,65.52680116190164,8.486546034294463
NL,season,SON,1825,0.7616438356164383,0.12383561643835617,0.11452054794520548,30.759665282785075,52.27009870341395,6.992101074457516
NL,regime,negative,426,0.8779342723004695,0.05868544600938967,0.06338028169014084,49.901103391333926,104.65710377210668,12.254330906955524
NL,regime,upper95_train,919,0.7170837867247007,0.07072905331882481,0.21218715995647444,52.87393634285579,131.2549738606441,16.4923826572343
NL,regime,upper99_train,105,0.4380952380952381,0.02857142857142857,0.5333333333333333,123.08614029657274,605.4561940878839,72.29243568595003
