period,support,zone,model,n,mae,rmse,bias
validation,all_nyx_hours,pooled,residual,9116,12.437381699195601,24.129134371932476,-0.9141850762051924
validation,all_nyx_hours,pooled,nyx,9116,12.315690143463852,23.890625469902957,-0.39718097167345134
validation,all_nyx_hours,BE,chronos,2279,12.791811475566037,25.3868001720773,0.46883200335892955
validation,all_nyx_hours,BE,residual,2279,11.669859945583967,23.12186388968264,-1.5625417560888797
validation,all_nyx_hours,BE,nyx,2279,11.467478918265488,22.949263706621426,-0.6347223635294186
validation,all_nyx_hours,DE,chronos,2279,12.869276536552436,25.3980012999426,1.0717297055563846
validation,all_nyx_hours,DE,residual,2279,11.504087707915382,23.346597452438033,-0.4391114659532484
validation,all_nyx_hours,DE,nyx,2279,11.450687372816219,23.124182636515506,-0.18418857849811368
validation,all_nyx_hours,FR,chronos,2279,16.180935122659065,28.277341161263305,0.956429349808688
validation,all_nyx_hours,FR,residual,2279,14.839871928834418,26.76368773489454,-0.38505053691617697
validation,all_nyx_hours,FR,nyx,2279,14.626938245335753,26.288538819215923,-0.08058148105187672
validation,all_nyx_hours,NL,chronos,2279,12.996605857534005,25.273957454575296,0.735567712821413
validation,all_nyx_hours,NL,residual,2279,11.735707214448636,23.08422228806838,-1.270036545862464
validation,all_nyx_hours,NL,nyx,2279,11.71765603743794,23.033977963875543,-0.6892314636143959
validation,four_model_common,pooled,chronos,9116,13.709657248077885,26.114790069877206,0.8081396928863539
validation,four_model_common,pooled,residual,9116,12.437381699195601,24.129134371932476,-0.9141850762051924
validation,four_model_common,pooled,nyx,9116,12.315690143463852,23.890625469902957,-0.39718097167345134
validation,four_model_common,pooled,storm,9116,13.435010759433961,23.672667857189282,-5.02375888251426
validation,four_model_common,BE,chronos,2279,12.791811475566037,25.3868001720773,0.46883200335892955
validation,four_model_common,BE,residual,2279,11.669859945583967,23.12186388968264,-1.5625417560888797
validation,four_model_common,BE,nyx,2279,11.467478918265488,22.949263706621426,-0.6347223635294186
validation,four_model_common,BE,storm,2279,13.105368213251426,23.637450102845165,-5.645262443176832
validation,four_model_common,DE,chronos,2279,12.869276536552436,25.3980012999426,1.0717297055563846
validation,four_model_common,DE,residual,2279,11.504087707915382,23.346597452438033,-0.4391114659532484
validation,four_model_common,DE,nyx,2279,11.450687372816219,23.124182636515506,-0.18418857849811368
validation,four_model_common,DE,storm,2279,12.635469810004388,22.371152046413098,-4.1070634168494955
validation,four_model_common,FR,chronos,2279,16.180935122659065,28.277341161263305,0.956429349808688
validation,four_model_common,FR,residual,2279,14.839871928834418,26.76368773489454,-0.38505053691617697
validation,four_model_common,FR,nyx,2279,14.626938245335753,26.288538819215923,-0.08058148105187672
validation,four_model_common,FR,storm,2279,15.337464770074591,25.69879410134104,-5.099155861781483
validation,four_model_common,NL,chronos,2279,12.996605857534005,25.273957454575296,0.735567712821413
validation,four_model_common,NL,residual,2279,11.735707214448636,23.08422228806838,-1.270036545862464
validation,four_model_common,NL,nyx,2279,11.71765603743794,23.033977963875543,-0.6892314636143959
validation,four_model_common,NL,storm,2279,12.661740244405442,22.846341159928905,-5.243553808249232
test75,all_nyx_hours,pooled,chronos,7200,15.04662435249625,32.30783193598856,-0.932770416644028
test75,all_nyx_hours,pooled,residual,7200,13.891542783616698,31.052425467707486,-2.345580670750558
test75,all_nyx_hours,pooled,nyx,7200,13.833375195161384,30.868102513234415,-2.139981431304014
test75,all_nyx_hours,BE,chronos,1800,16.715580308886665,40.25498205629534,-1.7415732878577783
test75,all_nyx_hours,BE,residual,1800,15.882229581670193,39.701674035688384,-2.6759228552479457
test75,all_nyx_hours,BE,nyx,1800,15.894493157294233,39.502640867525834,-2.5267694827448075
test75,all_nyx_hours,DE,chronos,1800,14.214414210415,30.320194242677964,-1.195394912790556
test75,all_nyx_hours,DE,residual,1800,12.685862601047623,28.299392605269222,-2.6169505046616823
test75,all_nyx_hours,DE,nyx,1800,12.489424819862114,28.032285486425,-2.344699954217139
test75,all_nyx_hours,FR,chronos,1800,14.243802107638889,20.034700892275783,0.2850893626944443
test75,all_nyx_hours,FR,residual,1800,13.412726348430944,19.234670012540736,-1.5833894622305271
test75,all_nyx_hours,FR,nyx,1800,13.404341235001441,19.191436099395798,-1.3696255968606403
test75,all_nyx_hours,NL,chronos,1800,15.012700783044444,35.128578372985594,-1.0792028286222224
test75,all_nyx_hours,NL,residual,1800,13.585352603318036,33.31608374577601,-2.5060598608620768
test75,all_nyx_hours,NL,nyx,1800,13.545241568487747,33.1176709086229,-2.318830691393468
test75,four_model_common,pooled,chronos,7200,15.04662435249625,32.30783193598856,-0.932770416644028
test75,four_model_common,pooled,residual,7200,13.891542783616698,31.052425467707486,-2.345580670750558
test75,four_model_common,pooled,nyx,7200,13.833375195161384,30.868102513234415,-2.139981431304014
