zone,grouping,group,model,n,mae,rmse,bias
BE,season,JJA,chronos,2208,16.05253085969022,37.19694182149982,-1.2478730932717397
BE,season,JJA,residual,2208,14.963587487833157,36.460685370385804,-2.4123342369875673
BE,season,MAM,nyx,2207,12.064793553724417,23.815688743098036,-1.5617451309447803
BE,season,MAM,storm,2207,12.820578185319437,23.30771469089854,-4.836031191209787
BE,season,MAM,chronos,2207,13.189804578031264,26.018522816013387,-0.6557110763230631
BE,season,MAM,residual,2207,12.270167380971458,23.972514509179053,-2.6562068337997746
BE,season,SON,nyx,1824,9.419228395955662,13.38143858515293,-0.32805732872483667
BE,season,SON,storm,1824,8.501641715460527,12.081956403667581,-1.5369273273026314
BE,season,SON,chronos,1824,10.523471626595393,14.607177205554581,-1.0707348294024122
BE,season,SON,residual,1824,9.470958756545503,13.501662421089877,-0.859092119081417
BE,regime,negative,nyx,328,17.678674302328147,47.44458085106227,4.609890658419267
BE,regime,negative,storm,328,17.503097472560977,45.652532542056676,6.388559759146341
BE,regime,negative,chronos,328,21.444737372396343,53.27617169200751,10.02535569617683
BE,regime,negative,residual,328,17.444874361523983,47.51357209085523,4.011923857437768
BE,regime,upper95_train,nyx,1180,19.932582962435625,48.90177410146682,-9.509587995921418
BE,regime,upper95_train,storm,1180,17.886790269491527,48.539620281755774,-5.40753602881356
BE,regime,upper95_train,chronos,1180,20.187358398305083,49.595691369880264,-12.569727737288135
BE,regime,upper95_train,residual,1180,20.214656039935992,49.26892121855031,-10.306248256079826
BE,regime,upper99_train,nyx,243,51.260225235875424,102.78492047252325,-34.01556651579323
BE,regime,upper99_train,storm,243,42.41139692592593,102.40821624127219,-4.4135235432098785
BE,regime,upper99_train,chronos,243,53.07147847736625,104.4755630427458,-39.97788695473251
BE,regime,upper99_train,residual,243,52.12981317265748,103.56125377122895,-35.25464875592993
DE,all,all,nyx,8399,10.912411342748438,21.57080824928911,-0.6601481907220048
DE,all,all,storm,8399,11.295950395285153,19.885127889373198,-1.4885321593046794
DE,all,all,chronos,8399,12.102428455651864,23.46845649011884,-0.8181164447255628
DE,all,all,residual,8399,10.990639663423334,21.770970575127294,-0.9344747765693656
DE,split,test,nyx,1800,12.489424819862114,28.032285486425,-2.344699954217139
DE,split,test,storm,1800,11.438904034444445,23.467530350876945,-3.4898640466666673
