period,support,zone,model,n,mae,rmse,bias
validation,four_model_common,DE,residual,2279,11.504087707915382,23.346597452438033,-0.4391114659532484
validation,four_model_common,DE,nyx,2279,11.450687372816219,23.124182636515506,-0.18418857849811368
validation,four_model_common,DE,storm,2279,12.635469810004388,22.371152046413098,-4.1070634168494955
validation,four_model_common,FR,chronos,2279,16.180935122659065,28.277341161263305,0.956429349808688
validation,four_model_common,FR,residual,2279,14.839871928834418,26.76368773489454,-0.38505053691617697
validation,four_model_common,FR,nyx,2279,14.626938245335753,26.288538819215923,-0.08058148105187672
validation,four_model_common,FR,storm,2279,15.337464770074591,25.69879410134104,-5.099155861781483
validation,four_model_common,NL,chronos,2279,12.996605857534005,25.273957454575296,0.735567712821413
validation,four_model_common,NL,residual,2279,11.735707214448636,23.08422228806838,-1.270036545862464
validation,four_model_common,NL,nyx,2279,11.71765603743794,23.033977963875543,-0.6892314636143959
validation,four_model_common,NL,storm,2279,12.661740244405442,22.846341159928905,-5.243553808249232
test90,all_nyx_hours,pooled,chronos,8640,15.487535356496876,31.81758603691969,-0.6504381595459493
test90,all_nyx_hours,pooled,residual,8640,14.25928122707431,30.39153582971774,-2.0309723802714297
test90,all_nyx_hours,pooled,nyx,8640,14.191395139008185,30.196013322074393,-1.8524166040584602
test90,all_nyx_hours,BE,chronos,2160,16.979536999535185,38.72469980979747,-1.6386191912703707
test90,all_nyx_hours,BE,residual,2160,16.097421369252302,38.03667113408056,-2.66849682566732
test90,all_nyx_hours,BE,nyx,2160,16.10764101560567,37.863589980209504,-2.544202348581372
test90,all_nyx_hours,DE,chronos,2160,15.02835049829028,31.38970678122523,-1.0597794528995375
test90,all_nyx_hours,DE,residual,2160,13.290648034105615,29.00143702037462,-2.6237587512601563
test90,all_nyx_hours,DE,nyx,2160,13.068642471816071,28.652134760670922,-2.275932642750421
test90,all_nyx_hours,FR,chronos,2160,14.558149965625,20.364699707338772,1.0436887059490738
test90,all_nyx_hours,FR,residual,2160,13.680499503054333,19.484595694682014,-0.5722814667020094
test90,all_nyx_hours,FR,nyx,2160,13.653686735966646,19.41389154014229,-0.44931932468536134
test90,all_nyx_hours,NL,chronos,2160,15.384103962537038,33.908672394047485,-0.9470426999629628
test90,all_nyx_hours,NL,residual,2160,13.968556001884988,32.04778667493116,-2.2593524774562344
test90,all_nyx_hours,NL,nyx,2160,13.935610332644346,31.870070990226857,-2.1402121002166865
test90,four_model_common,pooled,chronos,8640,15.487535356496876,31.81758603691969,-0.6504381595459493
test90,four_model_common,pooled,residual,8640,14.25928122707431,30.39153582971774,-2.0309723802714297
test90,four_model_common,pooled,nyx,8640,14.191395139008185,30.196013322074393,-1.8524166040584602
test90,four_model_common,pooled,storm,8640,12.758226074652777,27.5750681097793,-4.045827227893519
test90,four_model_common,BE,chronos,2160,16.979536999535185,38.72469980979747,-1.6386191912703707
test90,four_model_common,BE,residual,2160,16.097421369252302,38.03667113408056,-2.66849682566732
test90,four_model_common,BE,nyx,2160,16.10764101560567,37.863589980209504,-2.544202348581372
test90,four_model_common,BE,storm,2160,14.072472306018518,37.08937388581023,-4.35242541712963
test90,four_model_common,DE,chronos,2160,15.02835049829028,31.38970678122523,-1.0597794528995375
test90,four_model_common,DE,residual,2160,13.290648034105615,29.00143702037462,-2.6237587512601563
test90,four_model_common,DE,nyx,2160,13.068642471816071,28.652134760670922,-2.275932642750421
test90,four_model_common,DE,storm,2160,12.017347882407405,23.911409633045402,-4.412427456481482
test90,four_model_common,FR,chronos,2160,14.558149965625,20.364699707338772,1.0436887059490738
test90,four_model_common,FR,residual,2160,13.680499503054333,19.484595694682014,-0.5722814667020094
test90,four_model_common,FR,nyx,2160,13.653686735966646,19.41389154014229,-0.44931932468536134
test90,four_model_common,FR,storm,2160,12.303531618055557,18.04031166130361,-3.983967266203704
test90,four_model_common,NL,chronos,2160,15.384103962537038,33.908672394047485,-0.9470426999629628
test90,four_model_common,NL,residual,2160,13.968556001884988,32.04778667493116,-2.2593524774562344
test90,four_model_common,NL,nyx,2160,13.935610332644346,31.870070990226857,-2.1402121002166865
test90,four_model_common,NL,storm,2160,12.63955249212963,27.725575094453568,-3.4344887717592596
