period,subset,zone,model,n,days,mae,rmse,bias
test90,cache_only,FR,storm,2040,85,11.848587336274509,17.213209588575605,-3.401772049019608
test90,cache_only,NL,nyx,2040,85,13.89460603736323,32.26640318850549,-2.537261789030958
test90,cache_only,NL,storm,2040,85,12.63756761764706,28.210376171505203,-3.448434217647059
test90,native_fallback_only,pooled,nyx,432,5,17.578516117067856,33.48568917629599,1.6740058311666834
test90,native_fallback_only,pooled,storm,432,5,17.85749958564815,28.69654924905969,-8.969914391203703
test90,native_fallback_only,BE,nyx,96,4,19.357174301233744,31.6629615328438,4.216372915617766
test90,native_fallback_only,BE,storm,96,4,19.042698531249997,24.923438156334516,-7.908087072916666
test90,native_fallback_only,DE,nyx,96,4,21.333728795576253,50.13767047080709,-2.5025990479877396
test90,native_fallback_only,DE,storm,96,4,20.427449895833334,40.90814003046254,-11.108150000000002
test90,native_fallback_only,FR,nyx,120,5,16.097252191573023,25.298481805877508,0.0457692884701211
test90,native_fallback_only,FR,storm,120,5,20.037584408333334,28.655597590723417,-13.881285958333333
test90,native_fallback_only,NL,nyx,120,5,14.632683352423266,24.15724484090514,4.609632609625919
test90,native_fallback_only,NL,storm,120,5,12.673295358333336,17.541515162158188,-3.197416191666667
test90,cache_only_no_label_fallback,pooled,nyx,8136,86,13.97183213015017,30.062373081457274,-1.9648052687839253
test90,cache_only_no_label_fallback,pooled,storm,8136,86,12.395937456981317,27.49813956040633,-3.697329914208456
test90,cache_only_no_label_fallback,BE,nyx,2064,86,15.956499932553202,38.12745724066425,-2.8586477097069127
test90,cache_only_no_label_fallback,BE,storm,2064,86,13.841298993217054,37.55944712758966,-4.187045805232558
test90,cache_only_no_label_fallback,DE,nyx,2040,85,12.679376789836356,27.347443286835173,-2.137972488359245
test90,cache_only_no_label_fallback,DE,storm,2040,85,11.528212621078431,22.808638052538893,-3.961381154411765
test90,cache_only_no_label_fallback,FR,nyx,2016,84,13.408260936974065,18.898279917119684,-0.5045655313575228
test90,cache_only_no_label_fallback,FR,storm,2016,84,11.766097686011905,17.143182135868773,-3.4529170917658734
test90,cache_only_no_label_fallback,NL,nyx,2016,84,13.811323239040727,32.32670380712421,-2.334691868314149
test90,cache_only_no_label_fallback,NL,storm,2016,84,12.424057215277777,28.053156955671387,-3.1731722361111108
