support,zone,label,model,days,first,last,n,mae,rmse,bias
nyx_naive_common,DE,frozen_actual,chronos,358,2025-09-23,2026-09-15,8591,12.318059922495635,24.092818581199598,-0.9515013648830172
nyx_naive_common,DE,frozen_actual,residual,358,2025-09-23,2026-09-15,8591,11.181537421362117,22.27404203910083,-1.1154536469394665
nyx_naive_common,FR,observed,weekly_naive,358,2025-09-23,2026-09-15,8591,35.15653430916075,48.750922327763455,-2.532075573274357
nyx_naive_common,FR,observed,nyx,358,2025-09-23,2026-09-15,8591,12.146182725016084,19.152480338811458,-0.1352698811492482
nyx_naive_common,FR,observed,chronos,358,2025-09-23,2026-09-15,8591,13.002854925191013,20.328851085606136,0.40445217477103934
nyx_naive_common,FR,observed,residual,358,2025-09-23,2026-09-15,8591,12.291745422093172,19.397611492529414,-0.25415895134409267
nyx_naive_common,FR,frozen_actual,weekly_naive,358,2025-09-23,2026-09-15,8591,35.157343877313465,48.75166823158594,-2.5328851414270748
nyx_naive_common,FR,frozen_actual,nyx,358,2025-09-23,2026-09-15,8591,12.146838665270275,19.152599436970096,-0.13607944930196614
nyx_naive_common,FR,frozen_actual,chronos,358,2025-09-23,2026-09-15,8591,13.00358337589524,20.328975695676302,0.40364260661832135
nyx_naive_common,FR,frozen_actual,residual,358,2025-09-23,2026-09-15,8591,12.291858635206387,19.397631788759977,-0.25496851949681026
nyx_naive_common,NL,observed,weekly_naive,358,2025-09-23,2026-09-15,8591,32.67557720288675,51.67686951401032,-2.276935601210569
nyx_naive_common,NL,observed,nyx,358,2025-09-23,2026-09-15,8591,11.134462838681898,22.46977565796787,-0.8330511641915957
nyx_naive_common,NL,observed,chronos,358,2025-09-23,2026-09-15,8591,12.207758005733908,24.15497960776916,-0.6781875431167501
nyx_naive_common,NL,observed,residual,358,2025-09-23,2026-09-15,8591,11.179543635319638,22.55586995383486,-1.0241018376912043
nyx_naive_common,NL,frozen_actual,weekly_naive,358,2025-09-23,2026-09-15,8591,32.67665856710511,51.67728101228583,-2.2780169654289373
nyx_naive_common,NL,frozen_actual,nyx,358,2025-09-23,2026-09-15,8591,11.13476036755604,22.469837163687817,-0.8341325284099635
nyx_naive_common,NL,frozen_actual,chronos,358,2025-09-23,2026-09-15,8591,12.207658161711091,24.1549604077666,-0.679268907335118
nyx_naive_common,NL,frozen_actual,residual,358,2025-09-23,2026-09-15,8591,11.179276019191212,22.55581484275124,-1.0251832019095726
all_models_common,pooled,observed,weekly_naive,358,2025-09-23,2026-09-15,34360,34.00030809807917,51.74195367727776,-2.4207503274156
all_models_common,pooled,observed,nyx,358,2025-09-23,2026-09-15,34360,11.385034485385756,21.973683510207305,-0.7085715559805483
all_models_common,pooled,observed,chronos,358,2025-09-23,2026-09-15,34360,12.377551175359633,23.48794918204779,-0.4940869807621363
all_models_common,pooled,observed,residual,358,2025-09-23,2026-09-15,34360,11.4798727898346,22.1442128484164,-0.9431945818717212
all_models_common,pooled,observed,storm,358,2025-09-23,2026-09-15,34360,11.31647895305588,20.868270180379756,-2.088710844383004
